CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 5859.472656 1594659069.7339
MEM 5859.472656 1594659069.8346
MEM 5861.242188 1594659069.9352
MEM 5865.109375 1594659070.0358
MEM 5867.171875 1594659070.1365
MEM 5877.171875 1594659070.2371
MEM 5887.402344 1594659070.3378
MEM 5892.929688 1594659070.4384
MEM 5892.929688 1594659070.5391
MEM 5896.929688 1594659070.6397
MEM 5910.929688 1594659070.7404
MEM 5910.929688 1594659070.8410
MEM 5910.929688 1594659070.9417
MEM 5914.500000 1594659071.0423
MEM 5918.367188 1594659071.1430
MEM 5920.945312 1594659071.2436
MEM 5927.203125 1594659071.3442
MEM 5927.449219 1594659071.4449
MEM 5931.449219 1594659071.5455
MEM 5931.449219 1594659071.6461
MEM 5933.699219 1594659071.7468
MEM 5933.699219 1594659071.8475
MEM 5937.699219 1594659071.9481
MEM 5937.699219 1594659072.0488
MEM 5941.699219 1594659072.1494
MEM 5945.484375 1594659072.2500
MEM 5954.238281 1594659072.3507
MEM 5960.238281 1594659072.4513
MEM 5965.316406 1594659072.5520
MEM 5969.183594 1594659072.6526
MEM 5972.792969 1594659072.7533
MEM 5984.855469 1594659072.8539
MEM 5996.855469 1594659072.9546
MEM 5998.359375 1594659073.0552
MEM 6000.359375 1594659073.1558
MEM 6022.578125 1594659073.2565
MEM 6029.472656 1594659073.3571
MEM 6033.339844 1594659073.4577
MEM 6037.207031 1594659073.5584
MEM 6041.074219 1594659073.6590
MEM 6044.941406 1594659073.7597
MEM 6052.222656 1594659073.8603
MEM 6064.222656 1594659073.9610
MEM 6076.222656 1594659074.0616
MEM 6078.941406 1594659074.1623
MEM 6078.941406 1594659074.2629
MEM 6089.191406 1594659074.3636
MEM 6097.191406 1594659074.4643
MEM 6097.382812 1594659074.5649
MEM 6099.910156 1594659074.6656
MEM 6102.859375 1594659074.7662
MEM 6106.003906 1594659074.8669
MEM 6109.046875 1594659074.9675
MEM 6112.082031 1594659075.0681
MEM 6116.578125 1594659075.1688
MEM 6126.578125 1594659075.2694
MEM 6138.578125 1594659075.3700
MEM 6112.429688 1594659075.4707
MEM 6112.429688 1594659075.5713
MEM 6131.496094 1594659075.6720
MEM 6155.035156 1594659075.7726
MEM 6158.660156 1594659075.8733
MEM 6162.394531 1594659075.9739
MEM 6166.261719 1594659076.0746
MEM 6170.128906 1594659076.1752
MEM 6172.191406 1594659076.2759
MEM 6186.500000 1594659076.3765
MEM 6198.500000 1594659076.4771
MEM 6179.148438 1594659076.5778
MEM 6179.148438 1594659076.6784
MEM 6179.148438 1594659076.7791
MEM 6203.238281 1594659076.8797
MEM 6216.769531 1594659076.9804
MEM 6220.636719 1594659077.0810
MEM 6224.503906 1594659077.1816
MEM 6228.113281 1594659077.2823
MEM 6231.980469 1594659077.3829
MEM 6234.753906 1594659077.4836
MEM 6244.753906 1594659077.5843
MEM 6256.753906 1594659077.6849
MEM 6258.753906 1594659077.7855
MEM 6258.753906 1594659077.8862
MEM 6270.957031 1594659077.9869
MEM 6276.957031 1594659078.0875
MEM 6276.957031 1594659078.1881
MEM 6276.957031 1594659078.2888
MEM 6279.761719 1594659078.3894
MEM 6283.136719 1594659078.4901
MEM 6284.820312 1594659078.5908
MEM 6293.464844 1594659078.6914
MEM 6303.464844 1594659078.7920
MEM 6310.519531 1594659078.8927
MEM 6310.519531 1594659078.9933
MEM 6314.386719 1594659079.0939
MEM 6327.046875 1594659079.1946
MEM 6327.046875 1594659079.2952
MEM 6327.046875 1594659079.3959
MEM 6328.273438 1594659079.4966
MEM 6331.675781 1594659079.5973
MEM 6335.265625 1594659079.6979
MEM 6345.082031 1594659079.7985
MEM 6354.105469 1594659079.8992
MEM 6364.933594 1594659079.9998
MEM 6375.503906 1594659080.1005
MEM 6375.503906 1594659080.2011
MEM 6375.503906 1594659080.3018
MEM 6389.425781 1594659080.4024
MEM 6393.089844 1594659080.5031
MEM 6393.089844 1594659080.6037
MEM 6393.386719 1594659080.7044
MEM 6397.253906 1594659080.8050
MEM 6401.121094 1594659080.9056
MEM 6403.957031 1594659081.0063
MEM 6414.527344 1594659081.1069
MEM 6425.871094 1594659081.2076
MEM 6429.738281 1594659081.3082
MEM 6429.738281 1594659081.4089
MEM 6437.472656 1594659081.5095
MEM 6447.269531 1594659081.6102
MEM 6447.269531 1594659081.7108
MEM 6447.269531 1594659081.8115
MEM 6450.621094 1594659081.9121
MEM 6454.230469 1594659082.0127
MEM 6456.550781 1594659082.1134
MEM 6464.800781 1594659082.2141
MEM 6476.144531 1594659082.3147
MEM 6477.949219 1594659082.4153
MEM 6477.949219 1594659082.5159
MEM 6494.449219 1594659082.6166
MEM 6645.011719 1594659082.7172
MEM 6788.871094 1594659082.8179
MEM 6933.761719 1594659082.9185
